RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
145,0,47420,Jake Knapp,71.584,5237,60.241,74
146,0,27129,Luke List,71.585,4032,48.321,57
147,0,47347,Adam Schenk,71.595,5594,61.992,79
148,0,45609,Tyler Duncan,71.609,3954,56.093,56
149,0,46340,Alex Smalley,71.641,3946,65.891,56
150,0,54628,Lee Hodges,71.645,5379,66.056,76
151,0,54421,Garrick Higgo,71.654,4373,69.578,62
152,0,47663,Kevin Dougherty,71.689,3599,57.151,51
153,0,47995,Davis Riley,71.733,4509,81.904,64
154,0,36326,David Lipsky,71.817,3970,51.743,56
155,0,55708,Hayden Buckley,71.869,4249,63.166,60
156,0,32102,Rickie Fowler,72,4854,42.002,68
157,0,50497,Adrien Dumont de Chassart,72.016,4178,70.956,59
158,0,55454,Carl Yuan,72.03,3625,48.511,51
159,0,38991,Alejandro Tosti,72.044,3985,49.448,56
160,0,48319,Tom Whitney,72.058,3768,51.1,53
161,0,33408,Tyson Alexander,72.187,4132,54.87,58
162,0,48699,Callum Tarren,72.223,3926,46.258,55
163,0,46113,Ryan McCormick,72.294,3480,62.395,49
164,0,51070,Vincent Norrman,72.321,3515,28.712,49
165,0,48119,Ben Taylor,72.512,3507,46.111,49
166,0,34374,Erik Barnes,72.593,3287,52.272,46
167,0,27649,Brandt Snedeker,72.737,3806,49.046,53
168,0,28420,Ryan Brehm,72.808,3521,46.616,49
169,0,37212,Paul Barjon,73.052,3164,50.305,44
