RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
131,0,52374,Brandon Wu,-0.251,-13.04,-11.075,-1.968,52
133,0,59442,Parker Coody,-0.289,-13.859,-3.153,-10.709,48
134,0,27936,Martin Laird,-0.295,-13.848,-26.482,12.633,47
135,0,47347,Adam Schenk,-0.304,-20.646,-21.633,0.985,68
136,0,47663,Kevin Dougherty,-0.332,-14.276,-1.051,-13.227,43
137,0,51349,Nico Echavarria,-0.336,-18.474,-12.66,-5.817,55
138,0,36884,Ben Kohles,-0.357,-20.72,-19.161,-1.562,58
139,0,50493,Justin Suh,-0.387,-19.738,-53.256,33.515,51
140,0,60067,Joe Highsmith,-0.395,-16.996,1.381,-18.38,43
141,0,54628,Lee Hodges,-0.399,-27.538,-10.181,-17.357,69
142,0,36871,Matt NeSmith,-0.432,-22.882,-11.71,-11.173,53
143,0,22405,Justin Rose,-0.445,-23.588,-24.748,1.161,53
144,0,34466,Peter Malnati,-0.454,-27.715,-47.152,19.438,61
145,0,27129,Luke List,-0.466,-23.741,-19.932,-3.811,51
146,0,36326,David Lipsky,-0.472,-23.612,2.074,-25.689,50
147,0,27214,Kevin Streelman,-0.485,-22.301,-7.448,-14.854,46
148,0,31323,Gary Woodland,-0.499,-29.437,-11.886,-17.552,59
149,0,54421,Garrick Higgo,-0.535,-27.796,-39.609,11.811,52
150,0,32070,Rafael Campos,-0.544,-20.143,-17.397,-2.75,37
151,0,55708,Hayden Buckley,-0.549,-29.121,-23.136,-5.987,53
152,0,51894,Vince Whaley,-0.565,-22.017,-29.707,7.688,39
153,0,47995,Davis Riley,-0.58,-34.209,-48.498,14.289,59
154,0,45609,Tyler Duncan,-0.636,-28.612,-13.03,-15.582,45
155,0,46340,Alex Smalley,-0.671,-30.859,-6.348,-24.513,46
156,0,32102,Rickie Fowler,-0.689,-38.61,-36.219,-2.39,56
157,0,55454,Carl Yuan,-0.707,-31.794,5.737,-37.534,45
158,0,48319,Tom Whitney,-0.763,-31.296,-4.387,-26.912,41
159,0,33408,Tyson Alexander,-0.788,-39.382,-54.873,15.489,50
160,0,46113,Ryan McCormick,-0.856,-33.369,-37.688,4.317,39
161,0,38991,Alejandro Tosti,-1.124,-56.18,-34.598,-21.583,50
162,0,48699,Callum Tarren,-1.245,-58.513,-27.814,-30.702,47
163,0,48119,Ben Taylor,-1.253,-56.398,-59.375,2.973,45
164,0,50497,Adrien Dumont de Chassart,-1.345,-63.224,-55.631,-7.594,47
165,0,51070,Vincent Norrman,-1.374,-63.202,-19.341,-43.863,46
166,0,28420,Ryan Brehm,-1.406,-54.844,-40.803,-14.044,39
167,0,27649,Brandt Snedeker,-1.474,-69.275,-67.917,-1.362,47
168,0,37212,Paul Barjon,-2.035,-71.221,-60.204,-11.019,35
169,0,34374,Erik Barnes,-2.041,-75.531,-69.825,-5.708,37
